Geo_id,Geo_id_type,Positive,Total,Deaths,Update_time,Source_geo
78748,ZCTA,165,NA,NA,2020-05-17,Travis County
78730,ZCTA,4,NA,NA,2020-05-17,Travis County
78732,ZCTA,9,NA,NA,2020-05-17,Travis County
78613,ZCTA,4,NA,NA,2020-05-17,Travis County
78645,ZCTA,9,NA,NA,2020-05-17,Travis County
78726,ZCTA,9,NA,NA,2020-05-17,Travis County
78734,ZCTA,17,NA,NA,2020-05-17,Travis County
78727,ZCTA,25,NA,NA,2020-05-17,Travis County
78728,ZCTA,39,NA,NA,2020-05-17,Travis County
78729,ZCTA,6,NA,NA,2020-05-17,Travis County
78731,ZCTA,35,NA,NA,2020-05-17,Travis County
78751,ZCTA,16,NA,NA,2020-05-17,Travis County
78750,ZCTA,16,NA,NA,2020-05-17,Travis County
78758,ZCTA,151,NA,NA,2020-05-17,Travis County
78759,ZCTA,20,NA,NA,2020-05-17,Travis County
78681,ZCTA,1,NA,NA,2020-05-17,Travis County
78717,ZCTA,7,NA,NA,2020-05-17,Travis County
85347,ZCTA,1,NA,NA,2020-05-22,Arizona
85356,ZCTA,1,NA,NA,2020-05-22,Arizona
85365,ZCTA,53,NA,NA,2020-05-22,Arizona
85350,ZCTA,118,NA,NA,2020-05-22,Arizona
85367,ZCTA,18,NA,NA,2020-05-22,Arizona
85364,ZCTA,162,NA,NA,2020-05-22,Arizona
85349,ZCTA,133,NA,NA,2020-05-22,Arizona
85352,ZCTA,0,NA,NA,2020-05-22,Arizona
85336,ZCTA,0,NA,NA,2020-05-22,Arizona
85348,ZCTA,11,NA,NA,2020-05-22,Arizona
85328,ZCTA,0,NA,NA,2020-05-22,Arizona
85346,ZCTA,1,NA,NA,2020-05-22,Arizona
85334,ZCTA,0,NA,NA,2020-05-22,Arizona
85325,ZCTA,0,NA,NA,2020-05-22,Arizona
86406,ZCTA,28,NA,NA,2020-05-22,Arizona
86401,ZCTA,68,NA,NA,2020-05-22,Arizona
86413,ZCTA,6,NA,NA,2020-05-22,Arizona
86404,ZCTA,13,NA,NA,2020-05-22,Arizona
86438,ZCTA,1,NA,NA,2020-05-22,Arizona
86441,ZCTA,1,NA,NA,2020-05-22,Arizona
86436,ZCTA,0,NA,NA,2020-05-22,Arizona
86440,ZCTA,6,NA,NA,2020-05-22,Arizona
86409,ZCTA,55,NA,NA,2020-05-22,Arizona
86411,ZCTA,0,NA,NA,2020-05-22,Arizona
86426,ZCTA,1,NA,NA,2020-05-22,Arizona
86442,ZCTA,17,NA,NA,2020-05-22,Arizona
86429,ZCTA,1,NA,NA,2020-05-22,Arizona
85360,ZCTA,1,NA,NA,2020-05-22,Arizona
86433,ZCTA,0,NA,NA,2020-05-22,Arizona
86403,ZCTA,11,NA,NA,2020-05-22,Arizona
